ISim log file
Running: K:\Users\mobai\Desktop\ise\p7project\p7_tb_isim_beh.exe -gui -tclbatch isim.cmd -wdb K:/Users/mobai/Desktop/ise/p7project/p7_tb_isim_beh.wdb 
ISim M.70d (signature 0x16fbe694)
This is a Full version of ISim.
WARNING:  For instance cpu/aluA3sel/, width 5 of formal port c is not equal to width 32 of actual constant.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
PC=00003000,IR=00000821
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
# run 400us
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
PC=000030cc,IR=20630001
PC=000030d0,IR=1000fffe
PC=000030d4,IR=00000000
